nom_adjudicatari,nif,tipus_contractes,objecte,procediment,import_adjudicacio_net_sense_iva,import_adjudicacio_iva,nombre_contractes
HUMICLIMA EST SA,A07050586,Serveis,Serveis manteniment control Galeries 22@,Menor,12386.11,14987.19,1
"HYGECO ESPAÑA, S.A.U.",A59892414,Subministraments,Subm utillatge i mat sanitari ambulàncies SPEIS,Menor A Genèrica,357.5,432.58000000000004,2
"I.D.GRUP, S.A.",A59367458,Serveis,Esborrat certificat de màquines i instal·lació SO,Menor,4850.83,5869.5,1
"IASO, SA",A25033622,Subministraments,Subm i instal· de panells al CC Fort Pienc,Menor,3544.0,4288.24,1
IBERICA DE DESAMIANTADOS SL,B63330443,Serveis,Retirada materials fibrociment c.Nàpols 128,Menor,1850.0,2238.5,1
"IBÉRICA DE ESTRATIFICADOS, S.L",B18379735,Subministraments,Submin. mat. operatiu ii tècnic rep. per a la GUB,Menor A Genèrica,378.0,457.38,1
"IBERLAND INMUEBLES Y REFORMAS,",B63411466,Obres,Aigua calenta sanitària Caserna Guàrdia Urbana,Obert simplificat,78112.67,94516.33,1
"IBERPROTEC, SL",B63974307,Subministraments,"Compra vestuari, EPI's i mat. brigades Collserola",Menor,2479.34,3000.0,1
IBERTRAC SL,B08737512,Serveis,Servei control d'aus CC Casa Golferichs,Menor,1625.57,1966.94,1
"IBM GLOBAL SERVICES ESPAÑA, S.",A80599459,Serveis,Anàlisi integració procediments de Població a GPA,Menor,14804.7,17913.69,1
ICARIA EDITORIAL SA,A08397804,Subministraments,"Adquisició 3000 llibres ""Cuidadoras, ...""",Menor,14430.0,15007.2,1
ICARIA INCIATIVES SOCIALS SAL,A59835454,Subministraments,BOSSES COTÓ SERIGRAFIADES,Menor,9917.0,11999.57,1
"ICC-CONSULTORS CULTURALS, S.L.",B62536909,Serveis,ELABORACIÓ PLA ESTRATÈGIC DE CULTURA,Menor,11000.0,13310.0,1
ICG INTERN. DE COOP. Y GESTION,B81600686,Serveis,Assessoram i Assist Tèc Reformulacions Subvencions,Obert,89301.6,108054.94,1
ICS ARQUITECTURA RUBIO-CABALLE,B63926265,Serveis,DIR OBRA I COORD SiS DEFICIÈNCIES D'AUDITORIA A VP,Menor,2070.0,2504.7,1
"ICUFA,SL.",B60535788,Serveis,Atenció protocol·làries Dte Gràcia 2021,Menor A Genèrica,1023.97,1126.37,7
IDASA SISTEMAS SL,B53445144,Serveis,Dsenvolupament de l’aplicació ROSMIMAN per a la g,Menor,14400.0,17424.0,1
IDEA 10 INTEGRAL SL,B66608597,Serveis,COORDINACIÓ SEGURETAT I SALUT D’OBRES EQUIPAMENTS,Obert simplificat abreujat,3986.43,4823.58,1
IDEAFIX TEAM SL,B66300609,Serveis,Despeses de menor quantia relacionades amb producc,Menor A Genèrica,797.5,964.98,1
IDEEM INNOVA S.L.,B66056052,Serveis,ESTUDI MOBILITAT NUCLI ANTIC SANT ANDREU,Menor,14450.0,17484.5,1
IDENTIFICACIÓN FOR EVERYONE S.,B66185315,Serveis,Digitalització entrega i recepció elements armes,Menor,14300.0,17303.0,1
"IDENTIFICATION CARE, SL",B65244956,Subministraments,Subministrament maquinari i equipament RFID,Obert simplificat,61800.0,74778.0,1
"IDEOGRAMA, SA",A58084286,Serveis,Conceptualització i disseny premis Agenda 2030,Menor,13300.0,16093.0,1
IDERIA INSIGHTS SL,B63860126,Serveis,Estudi qualitatiu d'opinió ciutadana 2021,Basat en Acord Marc,26400.0,31944.0,1
IDETECH EUROPE SL,B63202139,Serveis,Atencions Protocol·làries de Direcció de Protocol,Menor A Genèrica,52.68000000000001,63.739999999999995,3
IDOM CONSULTING ENGINEERING,A48283964,Serveis,Borràs i Pedralbes,Obert,129328.51,156487.5,1
"IDP INGENIERIA Y ARQ. IBERIA,",B62731807,Serveis,"AT definició, seguiment i control plans esp. infr.",Menor,7455.64,9021.32,1
IEM INSTITUTO DESTUDIOS MEDICO,B60705068,Serveis,Realització temari específic TM Infermeria SPEIS,Menor,1150.0,1391.5,1
IFBLE SOLUCIONES SL,B66768888,Serveis,Manteniment d'equips i altres bens singulars,Menor A Genèrica,785.0,949.8499999999999,2
IFL  GESTION   S.L,B60480233,Obres,Equipaments: C.S.S; EAIA'S; SADEP'S; Seus Centrals,Obert,350057.52,423569.6,1
"IGE BCN, S.L.",B61355616,Serveis,ACTIVITATS PUNTUALS EN L'ÀMBIT ESPORTIU,Menor A Genèrica,125.75,152.16,1
"IGE DESARROLLOS INTEGRADOS 3,",B65615502,Serveis,ACTUALITZACIÓ DEL PROGRAMA DE GESTIÓ IADE,Menor,3450.55,4175.17,1
IGLOR SOLUCIONES AUDIOVISUALES,B65325045,Serveis,DESPESES DE MENOR QUANTIA PER A ACTES PUNTUALS,Menor A Genèrica,5710.0,6909.1,5
IGLUUU STUDIO SL,B65657082,Serveis,Producció de fotografies i materials audiovisuals,Obert,29700.0,35937.0,1
"IGREMAP, SLP",B62789680,Serveis,REDAC. PROJ. REMODELACIÓ MURS GABIONS CAN MASDEU,Menor,6200.0,7502.0,1
IGSCAR SERVICES SL,B63671903,Serveis,Lot 1 Servei de rentat i assecat exterior,Obert simplificat abreujat,11850.0,14338.5,1
I-LABSO SCCL,F66288192,Serveis,Elaboració informes resultats enquestes,Menor,3093.2,3742.77,1
ILLA ARQUITECTES SCP,J63191316,Serveis,DO instal·lació intrusió Palauet Albéniz,Menor,14850.0,17968.5,1
ILUMINACION Y SONIDO TECNORADI,A59935791,Serveis,Revisió i reparac.insta.audiovisuals Espai Bombers,Menor,3096.0,3746.16,1
ILUMINACIONES JUST S.L.,B46395901,Serveis,Despeses menor quantia actes puntuals Comerç,Menor A Genèrica,1230.0,1488.3,1
"ILUMINACIONES XIMENEZ, S.A.",A14041362,Serveis,Balmes,Obert,47107.44,57000.0,1
ILUNION SALUD SA,A79707295,Subministraments,EQUIP ADAPTAT CIBERPASS A 14 CENTRES,Menor,3850.0,4658.5,1
ILUSTRE COLEGIO DE ABOGADOSDE,Q0863003J,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,128.85,134.0,1
"IMAGINA COMUNICACIO, S.A.",A08372773,Serveis,Medalles d'honor 2021,Menor,9790.0,11845.9,1
IMAGINATION FORMS SL,B67032771,Serveis,D.O. MODIFICACIO SERVEIS IMPLANTACIO LOCOMOTORA,Menor,1600.0,1936.0,1
IMATGE-9 SL,B43324573,Privat d'Administració Pública,COEDICIÓ LLIBRE ANTICS CAMINS COSSETÀNIA,Negociat sense publicitat,3846.0,3999.84,1
IMESAPI SA,A28010478,Obres,Instal·lació de tancaments exteriors,Menor,27742.02,33567.84,1
IMESCO ILUMINACIONES ARTISTICA,B23411887,Serveis,Obres de llarga durada,Obert,85000.0,102850.0,1
"IMPALA NETWORK SOLUTIONS, S.L.",B60696721,Obres,Inst. electrònica xarxa connectivitat corp ed GR,Menor,20563.12,24881.38,1
IMPENTO SL,B63979405,Serveis,ACTIVITATS PUNTUALS DE SUPORT A DSPiT,Menor A Genèrica,750.0,907.5,1
IMPERMEABILIZACION PROTECCION,B61023636,Serveis,Neteja de graffitis al Passeig de Gràcia,Menor,14744.0,17840.24,1
IMPREMTA PAGES SL,B17207945,Serveis,Comunicacions de Festes Majors i actes varis,Obert,20000.0,24200.0,1
IMPRENTAS DIGITALES BADALONA,B67522995,Serveis,Despeses de menor quantia relacionades amb producc,Menor A Genèrica,232.0,280.72,2
"IMPRIMACIONES MAJANO, S.L.",B82284795,Subministraments,Submin. mat. operatiu ii tècnic rep. per a la GUB,Menor A Genèrica,797.8499999999999,965.4000000000001,5
IMPRIMEIX SL,B59053660,Subministraments,Submin. mat. operatiu ii tècnic rep. per a la GUB,Menor A Genèrica,576.0,696.96,2
IMPUESTOS E INVERSIONES SL,B35258771,Privat d'Administració Pública,DANSA INFANTIL,Menor,1000.0,1000.0,1
"IMPULSEM, SCCL",F63776264,Serveis,Actes puntuals i no recurrents CMAS21,Menor A Genèrica,2028.0,2453.88,1
IN OUT CTRL SL,B67577916,Serveis,Activitats turístiques i material de difusió per Turisme del districte,Menor A Genèrica,521.4,630.89,1
"INAD-HOC HABITAT, SL",B66579392,Serveis,ADAPTACIÓ ARMARI SEU DTE.,Menor,525.45,635.79,1
INAPA ESPAÑA DISTRIBUCION PAPE,A81828410,Subministraments,Compra de CARTOLINA,Basat en Acord Marc,183.68,222.25,1
INCIPRESA,A36633600,Subministraments,subm equips i material extinció i salvament SPEIS,Menor A Genèrica,261.54,316.46,1
INCLUSIVE STRATEGIES S.L.,B86406311,Serveis,Estudi joves migrats/es,Menor,14100.0,17061.0,1
INCOOP SCCL,F60137411,Serveis,ACTIVITATS DE NADAL,Menor A Genèrica,1000.0,1000.0,1
INDEX SENYALITZACIO INTEGRAL D,B61632246,Subministraments,MILLORA ACC. (INS PLANOLS TACTILS A 3 C.C.),Menor,4557.0,5513.97,1
INDRA SISTEMAS S.A. E INSTALAC,U16787053,Serveis,Mant.sistemes gestió transit Rondes,Obert,2561522.93,3099422.74,1
"INDRA SISTEMAS, S.A.",A28599033,Subministraments,Subministrament i servei renovació i obsolescència,Obert,80638.04,97572.03,1
INDRA SOLUCIONES TECNOLOGIAS D,B88018098,Serveis,Desenvolupament nova eina informàtica gestió petic,Menor,14480.0,17520.8,1
INDUSTRIAS GRAFICAS PUBLICITAR,A08259137,Serveis,impressió i producció de material gràfic,Obert simplificat abreujat,19942.25,24130.12,1
"INEDIT INNOVACIO, SL",B65095705,Serveis,Assessorament contractació sanitària context COVID,Menor,14499.0,17543.79,1
INES INGENIEROS CONSULTORES SL,B83911503,Serveis,llicencia d'us i manteniment software I3MET,Negociat sense publicitat,28800.0,34848.0,1
INETUM ESPAÑA SA,A28855260,Serveis,Desenvolupament aplicació informes Bombers,Basat en Acord Marc,123000.0,148830.0,1
"INFOPRODUCTS, SL",B98484512,Subministraments,Compra consumibles informàtica No homologat,Menor A Genèrica,598.4799999999999,724.16,6
INFORMAC.I COMUNIC.BARCELONA S,A08862997,Serveis,Despeses menor quantia,Menor A Genèrica,2000.0,2420.0,1
INFORMÀTICA I COMUNIC. TARRAGO,A43132422,Subministraments,Adqu. equip informàtic Ludoteca Placeta del Pi,Menor,845.0,1022.45,1
"INFRAESTRUCTURAS TRADE, S.L.",B65866006,Obres,G - Execució rampa Rda Guinardó-c. Telègraf,Menor,9239.54,11179.84,1
"INFRAESTRUCTURES COSER, SL",B66781535,Obres,OBRES ADEQUACIO NORMATIVA CF CANYELLES,Menor,37736.66,45661.36,1
INFRAPLAN BARCELONA SL,B62687140,Serveis,Digitalització de plans d’usos,Menor,12000.0,14520.0,1
INGENIA TECNOLOGIA Y COMUNICAC,B64167240,Serveis,gestió invitacions i control accessos persones,Menor,3380.0,4089.8,1
INGENIERIA Y SERVICIOS EFICIEN,B64734726,Obres,Obres estalvi energètic poliesp.Comellas i Creueta,Obert simplificat,122549.59,148285.0,1
INGENIERIA Y SERVICIOS FERROVI,A61401857,Obres,ARRANJAMENT VORAVIA BANDA BESÒS AV. DOCTOR MARAÑÓN,Menor,34163.34,41337.64,1
INGENIERIA Y SISTEMAS INTEGRAL,B62311725,Serveis,"Certificació energètica projecte C/Tàpies, 4, GUB",Menor,3750.0,4537.5,1
INGENIEROS EMETRES S.L.P.,B60626397,Serveis,DF I CSS TREBALLS PAVIMENTACIO FABRA&COATS,Menor,2900.0,3509.0,1
INGEVIA 2008 SL,B61771515,Obres,C - Consolidació planta PS-2 edif Gran Vista 106,Menor,28000.23,33880.28,1
"INGIP GESTION, S.L.",B01623420,Serveis,AIXECAMENT TOPOGRAFIC DIFERENTS CARRERS DTE-05,Menor,1950.0,2359.5,1
INICIATIVES EVENTS SL,B64709363,Serveis,Activitats als districtes Nadal 2021-2022,Obert,183950.5,222580.11,1
INICIATIVES I DINAMIQUES COMUN,B63912026,Serveis,Dinamització grup motor 1 projecte EQUICOM,Basat en Acord Marc,24586.77,29750.0,1
"INICIATIVES I PROGRAMES,S.L.",B59545913,Serveis,ACTIVITATS DE NADAL,Menor A Genèrica,2279.91,2758.69,2
"INICIATIVES JASSERA, S.L.N.E",B64513666,Subministraments,Material tècnic divers fungible No homologat GR,Menor A Genèrica,2560.81,3098.58,2
INJECCIÓ AMAC SL,B59558148,Serveis,Reparacions de vehicles GUB de propietat,Menor A Genèrica,4709.13,5698.05,4
INNOVACION Y CONSULTORIA EN PO,B63662647,Serveis,Serveis elaboració dictamens CESB,Menor,12750.0,15427.5,1
INNOVATION HOUSE SL,B66909326,Serveis,"Planificació projecte més ""aprop""",Menor,14465.0,17502.65,1
INS. BARGALLO SL,B65951287,Serveis,Manteniment i reparació altres béns singulars,Menor A Genèrica,455.8,551.52,1
INSERCOOP SCCL,F61380390,Serveis,SUPORT TRAMITACIÓ DIGITAL,Menor,11620.61,11620.61,1
INSERTY INSTAL·LACIONS S.,B63321954,Subministraments,Compra d’una cadira VELA TANGO 200EA,Menor,2573.33,2830.66,1
INSIGNA UNIFORMES SL,B97611164,Subministraments,Submin. sastreria de representació GUB,Menor,14999.0,18148.79,1
"INSIGNIES PUJOL, S.L.",B66804295,Subministraments,Submin. elements identif.i commemoratius GUB,Menor,14999.0,18148.79,1
INSPECCION I CONTROL DE INSTAL,A82019258,Serveis,ASS. TEC. 3 PROJECTES CANALITZACIÓ SERV. ELECTRICS,Menor,8700.0,10527.0,1
INST. MPAL. CULTURA (ICUB),P5890006I,Serveis,Despeses menor quantia - Punts suport pressupostos,Menor A Genèrica,1157.02,1157.02,1
INST.DE INVEST.SOBRE VEHICULOS,A50188762,Subministraments,Adquisició d'1 manta ignífuga per a l'SPEIS,Menor,2019.0,2442.99,1
INSTAL. INTEGR.I EQUIP. PER L',B62865472,Serveis,Manteniment repara. equips i altres béns sing.,Menor A Genèrica,450.0,544.5,1
INSTAL.INTEGRA.HOSTELE.EUROLIN,B60587763,Subministraments,Submin. electrodomèstics industrials SPCPEIS,Menor,10201.01,12343.22,1
INSTALACIONES DE LAVADO S.L.,B08800088,Serveis,Neteja exterior de turismes,Obert simplificat,41322.32,50000.0,1
INSTALACIONES NYCSA SL,B61551651,Serveis,Despeses menor quantia actes puntuals Comerç,Menor A Genèrica,3000.0,3630.0,1
INSTALACIONES Y OBRAS 49 SL,B62898663,Obres,TREBALLS REURBANITZACIO TENNIS MERIDIANA,Menor,4988.48,6036.06,1
"INSTALDECO, SL",B61601019,Subministraments,Adquisició de altre material de consum,Menor A Genèrica,135.0,163.35,1
INSTITUT D'ECONOMIA DE BARCELO,G64842446,Serveis,Avaluació política ampliació terrasses,Menor,14500.0,17545.0,1
INSTITUT ILDEFONS CERDA,G08985392,Serveis,Assessorament Observatori Comerç,Menor,14750.0,17847.5,1
INSTITUT MUNICIPAL PARCS I JAR,P5801914B,Serveis,Actes puntuals i no recurrents CMAS21,Menor A Genèrica,903.45,903.45,1
INSTITUT NAC EDUCACIO FISICA D,Q0840010C,Serveis,Lloguer sala d'actes acollida GUB,Menor,1393.47,1686.1,1
INSTITUT TECNOLOGIA CONSTRUCC.,G08546665,Serveis,Actualització Banc de Preus contracte mant estruct,Negociat sense publicitat,24902.79,30132.37,1
"INSTITUTO DYM, S.A.",A08149304,Serveis,Enquesta activitat sector comercial 2021,Basat en Acord Marc,48099.17,58200.0,1
INSTITUTO NACIONAL DE ESTADIST,Q2826039F,Subministraments,Compra llibres Gerències i Districtes 2021,Menor A Genèrica,1753.95,2122.2799999999997,2
INTEGRACIO SISTEMAS AUDIOVISUA,B67093088,Serveis,Manteniment d'equips de so i audiovisuals,Obert simplificat abreujat,9978.11,12073.51,1
INTEGRACIÓN AGENCIAS DE VIAJES,A84523505,Serveis,Despeses de viatge Comissionat Agenda 2030,Basat en Acord Marc,2730.0,3303.3,1
INTEGRACION AUDIOVISUAL SL,B61543369,Subministraments,WebCam 6a planta Seu C/Valencia 344,Menor,3744.0,4530.24,1
INTEGRACIÓN SOCIAL DE MINUSVÁL,B61098638,Serveis,Control accessos RFC,Menor,14282.49,17281.81,1
INTEGRAL ALQUILER SL,B64010325,Serveis,Despeses menors actes puntuals no recurrents,Menor A Genèrica,1829.0,2213.09,1
"INTEGRAPMC, SL",B64753049,Serveis,Despeses menors actes puntuals no recurrents,Menor A Genèrica,95.0,114.95,1
"INTELIGENCIA CREATIVA, SL",B63455232,Serveis,Despeses  de menor quantia Participació,Menor A Genèrica,3000.0,3630.0,1
"INTELLIGENIA, S.A.",A18867481,Serveis,Desenvolupament de l'API d'informació de residus,Menor,14625.0,17696.25,1
INTERFACE SAFEACCESS SL,B61440814,Serveis,Manteniment suport informàtic aules informàtiques,Obert,74000.0,89540.0,1
INTERGRAPH ESPAÑA SA,A28768380,Serveis,Desenvolupament i evolutius sist. Mycelium,Negociat sense publicitat,78700.0,95227.0,1
INTERSECCIO DIVERS. EDUC. I CU,B66968249,Serveis,ACTIVITATS CULTURALS CENTRES CÍVICS I CASALS BARRI,Menor A Genèrica,1074.33,1299.94,1
INTERVENTO 2 S.L.,B80690910,Serveis,Redacció proj reforma il·luminació Saló Plens Vell,Menor,4850.0,5868.5,1
"INTIMUS INTERNATIONAL IBERICA,",A60367927,Serveis,reparacio i manteniment maquinaria diversa,Menor A Genèrica,2513.87,3041.78,1
INTRACATALONIA SA,A61844411,Privat d'Administració Pública,Serveis informatius Agència Catalana de Notícies,Menor,18458.76,22335.1,1
INV PROTECCION SL,B85582013,Obres,"Adequació normativa grau 2, varis equipaments dte1",Menor,19641.88,23766.67,1
INV VIGILANCIA SL,B82906058,Serveis,Servei de seguretat i vigilància a Edifici Pallach,Obert simplificat,59280.0,71728.8,1
IN-VEST4 MUSIC SERVICES SPAIN,B25620139,Serveis,Promoció cultural d'actes i esdeveniments,Menor A Genèrica,500.0,605.0,1
INVISEG SISTEMAS SL,B40165920,Subministraments,INSTAL.LACIÓ SIST SEGURETAT A FUNDACIÓ MAQUINISTA,Menor,4605.57,5572.74,1
"IPLAN GESTION INTEGRAL, SL",B64906845,Serveis,DF i CSS manteniment Rondes,Menor,9999.0,12098.79,1
"IPSVIAL, S.L.",B84050889,Serveis,SERVEIS DF OBRES SENYALS VEHICLES MONTJUÏC,Menor,6456.21,7812.01,1
"IQCOOP, S.C.C.L.",F67347120,Serveis,Servei avaluació mesura govern democrat.cura,Menor,14580.0,17641.8,1
"IQEMBU, S.L.",B42953208,Serveis,Gestió casals infantils i espai jove,Obert,226540.0,249194.0,1
"IRO STUDIO, S.L.",B66826678,Serveis,SERVEIS DE SUPORT A PROGRAMES,Menor A Genèrica,650.0,786.5,1
IRON MOUNTAIN (ESPAÑA) SERVICE,B86899564,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,159.39,165.77,1
"ISDIN, S.A.",A08291924,Subministraments,Subm. protector solar per a la GUB,Obert simplificat abreujat,59990.8,72588.87,1
ITAL - FIRES S.L.,B17361841,Subministraments,Lloguer carpes Pg. Lluís Companys Festa Bici,Menor,3650.0,4416.5,1
"ITGLOBAL, SL",B61124376,Serveis,LLicències Adobe Pro Districte de Ciutat Vella,Menor,1699.6,2056.52,1
ITINERARIUM LOCAL. MULTIM.I X.,B64697519,Serveis,Despeses menor quantia actes puntuals de RRII,Menor A Genèrica,2000.0,2420.0,1
"ITURRI, S.A.",A41050113,Serveis,Revisió arnés i cordes dels EPI's,Menor,4050.67,4901.31,1
IURIS. DOC SL,B61857280,Serveis,Gestió webs i xarxes socials 2021-22 (DSMA-AMCB),Obert,37000.0,44770.0,1
"IVÀLUA, INSTITUT CATALÀ D'AVAL",Q0801583F,Serveis,Suport elaboració quadern metodològic avaluació pl,Menor,2080.0,2516.8,1
"IVEMON AMBULANCIES EGARA, SL S",B08923963,Serveis,Actuacions al territori,Menor A Genèrica,165.0,165.0,1
JABEGA DEL CASTILLO SANTOS Y,E79758900,Subministraments,Adquisició bosses d'EPI dels bombers de l'SPCPEIS,Menor,12340.0,14931.4,1
JAMGO PRODUCTES I SERVEIS INFO,F65533259,Serveis,Simulador ajuts població risc vulnerabilitat,Menor,14985.0,18131.85,1
"JAN BCS,S.L.",B60376993,Serveis,Protocol reobertura Casals i Espais de Gent Gran,Menor,14967.0,18110.07,1
"JANE ADVOCATS, SLP",B63143622,Serveis,Assessor. juríd. finques Berruguete 126 Lleida 34,Menor,3150.0,3811.5,1
JANE FONT SL,B55301253,Serveis,Serveis redacció projecte reforma CB Verneda,Menor,10500.0,12705.0,1
"JARDINERIA J. BOSCH, S.L.",B59773432,Obres,OBRES MILLORA JARDINERIA EIX C/ CASALS I CUBERÓ,Menor,39445.82,47729.44,1
JAVIRROYO SL,B64595762,Serveis,ESTRATEGIA  I CREATIVITAT CAMPANYA PLATGES 2021,Menor,14890.0,18016.9,1
"JM BONET VITRALLS, SL",B63535512,Serveis,Despeses protocolàries,Menor A Genèrica,589.0,712.69,1
"JM BRUNEAU ESPAñA, SA",A62588421,Subministraments,Adquisició de material tècnic divers,Menor A Genèrica,105.0,127.05,1
JOIES I PROTOCOL ROCA JOIERS S,B64800931,Serveis,Despeses producció esdeveniments Ciència 2021,Menor A Genèrica,220.0,266.2,1
JOLSSEN EVENTS SCP,J01826296,Serveis,"Cultura, organització d'actes i activitats",Menor A Genèrica,930.0,1125.3,1
JONES LANG LASALLE ESPAÑA SA,A78492303,Serveis,Valoració d'¡mmoble diferents qualificacions,Menor,6000.0,7260.0,1
JORNET LLOP PASTOR SLP,B64750300,Serveis,Diagnosi sistemàtica equipaments en el planejament,Menor,13749.03,16636.33,1
JOSE ANTONIO ROMERO POLO SAU,A25036880,Obres,OBRES ADAPT.SOLAR CTRA RIBES-VIA FAVÈNCIA-AV.MERID,Menor,39490.7,47783.75,1
JOSE MARIA BAÑO LEON ABOGADOS,B84619824,Serveis,ANTECEDENTS I INFORME SENTENCIES D'INADMISIÓ PEUAT,Menor,14000.0,16940.0,1
JOSEP G. & MARTÍ R.,B64832371,Serveis,Estudi preliminar preu mercat finques municipals,Menor,4960.0,6001.6,1
"JSS ENGINYERIA I ARQUITECTURA,",B60845492,Serveis,Llicència Activitat Allotjaments TemporalsÀlaba132,Menor,5370.0,6497.7,1
JUAN ANTONIO VELASCO SL,B60581949,Serveis,REDACCIÓ D’ARTICLES COL•LECCIÓ CIUTAT I BARRIS,Menor A Genèrica,2100.21,2541.25,1
"JUAN CORTIADA, SA",A58139221,Subministraments,Adquisició material fungible vehicles GUB,Menor A Genèrica,23.85,28.86,1
"JUEGOS KOMPAN,S.A.",A58178161,Obres,Obres instal gimnàstica gent gran Folch i Torres,Menor,6243.8,7555.0,1
"JUMP 2001, S.L.",B62807524,Serveis,Formació física CEM Can Dragó per la GUB,Menor,1830.0,2214.3,1
JUNAN SERVEIS SOLIDARIS SL,B66772013,Serveis,Destrucció certificada material informàtic Seu,Menor,442.0,486.2,1
"KAIDEL MASTER, S.L.",B66337908,Serveis,Serveis d'allotjaments urgents,Menor A Genèrica,6945.34,8372.369999999999,11
KAISER KRAFT SA,A58649351,Subministraments,Submin. mobiliari divers i comp. no homologats GSP,Menor A Genèrica,1686.25,2040.3600000000001,2
KAPSCH TRAFFICCOM TRANSPORTATI,A78107349,Obres,INSTAL. SEMAFORS BERENGUER PALOU PROP FERRAN TURNÉ,Menor,20920.85,25314.23,1
"KEBLAR SOLUTIONS, S.L.",B65033433,Serveis,Actes puntuals i no recurrents CMAS21,Menor A Genèrica,660.0,798.6,1
KHIMERA COMUNICACIO MEDIACIO S,B66626425,Serveis,"Anàlisi, aval. i asses. Política Comunicativa Edu.",Menor,6400.0,7744.0,1
KILOENERGIA GRUPS ELECTROG. SE,B65612798,Subministraments,Subministrament despeses menor quantia Participaci,Menor A Genèrica,2457.3,2973.33,1
KINOTHEQUE SC,J66921354,Serveis,VIDEOS DE REFORÇ AL COMERÇ DE PROXIMITAT,Menor,3500.0,4235.0,1
KNOCK BRAND DESING SL,B65915522,Serveis,"Identitat, Relat i Pla React. Econòmica BCN",Menor,14950.0,18089.5,1
KNOWLEDGE CONTROL SOLUTIONS SL,B64094634,Serveis,Base de dades Justícia global,Menor,4800.0,5808.0,1
KNOWLEDGE SHARING NETWORK SL,B66489790,Serveis,Estudi potencial de creació d'ocupació,Menor,14500.0,17545.0,1
KOLN STUDIO SL,B88057401,Serveis,DESPESES DE MENOR QUANTIA PER A ACTES PUNTUALS,Menor A Genèrica,4800.0,5808.0,2
"KONECTA BTO, SL",B62916077,Serveis,"Atenció telfònica a GUB, SPEIS i SCC",Obert,2526480.0,3057040.8,1
KOP DE MÀ BAR SCCL,F66136656,Serveis,Atencions protocol•làries derivades dels esdevenim,Menor A Genèrica,236.0,259.6,1
KPMG ASESORES SL,B82498650,Serveis,"Consultoria fons europeus, ""Pla de Sostenibilitat""",Menor,12000.0,14520.0,1
"KTRING DE LA PEPI, S.L.",B67401539,Serveis,Serveis de refrigeri actes institucionals,Menor,2175.0,2392.5,1
KUBUS INFORMATIESYSTEMEN B.V.,811789500B01,Subministraments,SUBMINISTRAMENT LLICÈNCIA DE PROGRAMARI BIMCOLLAB,Menor,3000.0,3630.0,1
KULTURA IDEAS ESTRATEGIAS PATR,B63124523,Serveis,Procés treball construcció compartida pla cultura,Menor,14300.0,17303.0,1
KUORUM SOCIAL SL,B86761459,Serveis,Aprovació comptes 2020 entitats vot electrònic,Menor,14877.5,18001.78,1
"L' OLIVERA, S.C.C.L.",F25014176,Serveis,Gestió protocol i actes institucionals,Menor A Genèrica,521.28,630.75,1
"L.D.,EMPRESA LIMPIEZA Y DESINF",A08426108,Serveis,Despeses extres no recurrents Eleccions 2021,Menor A Genèrica,1035.0,1252.35,1
L´ARADA CREATIVITAT SOCIAL SCC,F25628579,Serveis,Suport expert i creació actius avaluació,Menor,13370.0,13601.0,1
"LA BRUIXA, NETEGES GRALS I MAN",B61399408,Serveis,Despeses extres no recurrents Eleccions 2021,Menor A Genèrica,439.0,531.19,1
"LA CAIXA D'EINES, SL",B64624034,Subministraments,Adquisició puntual de materials de consum,Menor A Genèrica,111.63,116.1,1
LA CANIBAL SCCL,F66133679,Serveis,Organització i atencions protocol·làries,Menor A Genèrica,450.0,544.5,1
"LA CIUTAT INVISIBLE, SCCL",F63851430,Serveis,Música i festa contra el patriarcat,Menor,150.0,181.5,1
LA CLARA COMUNICACIO SCCL,F67079111,Serveis,Secretaria tècnica de comunicació Consum i OMIC,Menor,6870.0,8312.7,1
LA CYCA Projects & Services,B63876494,Serveis,Reg anti-pols i reg talussos vegetats Collserola,Menor,6926.66,8381.26,1
"LA DIRECTA, SCCL",F66807058,Privat d'Administració Pública,Subscripcions revistes corporatives (2) 2021,Menor A Genèrica,384.6,400.0,5
LA FABRICA@ SCCL,F66077611,Serveis,Guia de la perspectiva intercultural,Menor,1800.0,2178.0,1
LA FACTORIA DELS ANUNCIS SLU,B62336136,Serveis,Actes puntuals i no recurrents CMAS21,Menor A Genèrica,2925.0,3539.25,1
LA HISPANO IGUALADINA SL,B27383454,Serveis,Producció activ. festives puntuals barris C. Vella,Menor A Genèrica,140.0,154.0,1
"LA LLAUNA, S.C.C.L.",F58184201,Serveis,Servei infraestructures festa major Sant Andreu,Menor,12799.2,15487.03,1
LA MANDARINA DE NEWTON SL,B65290751,Serveis,Organització Jornada ApS Ciència i Universitats,Menor,4975.0,6019.75,1
LA MIRANDA CASAL DEL BARRI,G59874479,Serveis,FM La Salut – Activitats diverses,Menor,2480.0,3000.8,1
"LA PAGE ORIGINAL, S.L.",B61119681,Serveis,Despeses de menor quantia per recursos pedagògics,Menor A Genèrica,3094.0,3743.7400000000002,2
LA PAPARRA S.C.C.L.,F63065593,Serveis,Organització actes i altres campanyes Participació,Menor A Genèrica,400.0,484.0,1
